β,m,rθ,npop
0.14896099437727522,0.1,-1.0,266.92555875752726
0.15242993440779037,0.1,-0.9310345,267.94303926178236
0.15590124153744508,0.1,-0.86206895,268.96150476368484
0.1593745841076965,0.1,-0.79310346,269.9808756887214
0.16284982017909855,0.1,-0.7241379,271.0010818388454
0.16632676077855382,0.1,-0.6551724,272.0220546773991
0.16980523053547175,0.1,-0.5862069,273.0437332347406
0.17328508152339753,0.1,-0.51724136,274.06606109987035
0.17676616327543476,0.1,-0.44827586,275.08898354081225
0.18024833988059835,0.1,-0.37931034,276.11245252871913
0.18373150066285057,0.1,-0.31034482,277.13642379149235
0.18721552719437634,0.1,-0.2413793,278.160853969389
0.1907003147177475,0.1,-0.1724138,279.18570571036327
0.19418578428831376,0.1,-0.10344828,280.2109447810599
0.19767184691753756,0.1,-0.03448276,281.2365372487145
0.20115842618706462,0.1,0.03448276,282.26245462031557
0.2046454587462428,0.1,0.10344828,283.2886710118498
0.2081328881676209,0.1,0.1724138,284.3151612248373
0.21162066718224798,0.1,0.2413793,285.34190150759343
0.21510874415002507,0.1,0.31034482,286.3688756049722
0.21859708269997158,0.1,0.37931034,287.396064004619
0.22208563497534844,0.1,0.44827586,288.423449143468
0.22557438133271007,0.1,0.51724136,289.4510206395737
0.22906330277355075,0.1,0.5862069,290.4787645136838
0.23255237302147924,0.1,0.6551724,291.5066684384568
0.2360415835957422,0.1,0.7241379,292.53472697261196
0.23953092857586852,0.1,0.79310346,293.5629308150112
0.2430203968721882,0.1,0.86206895,294.5912720666762
0.24650999396461423,0.1,0.9310345,295.6197512578709
0.24999971660623882,0.1,1.0,296.648357754446
2.1579183020053862e-35,0.5,-1.0,222.05702509326477
2.3478869943144845e-7,0.5,-0.9310345,222.1253983932613
1.067173681725692e-6,0.5,-0.86206895,222.2006473107719
2.7564576692048137e-6,0.5,-0.79310346,222.283987931671
5.694376118093886e-6,0.5,-0.7241379,222.37690558097935
1.0492681434643937e-5,0.5,-0.6551724,222.4813421799755
1.814667201214144e-5,0.5,-0.5862069,222.59989390129832
3.0361813574186464e-5,0.5,-0.51724136,222.7360774672712
5.026084420799859e-5,0.5,-0.44827586,222.8949149734745
8.408390579971772e-5,0.5,-0.37931034,223.0839589395395
0.00014590864072692422,0.5,-0.31034482,223.31520632595038
0.0002735874484180248,0.5,-0.2413793,223.60977529470586
0.0006006640025450646,0.5,-0.1724138,224.01139363591525
0.0017777164007607691,0.5,-0.10344828,224.6626951565554
0.006470094809455764,0.5,-0.03448276,226.1066469236337
0.016843330861368636,0.5,0.03448276,228.88123328718962
0.03029572334652111,0.5,0.10344828,232.5742909378739
0.04517895266153327,0.5,0.1724138,236.775046444858
0.060946095440335614,0.5,0.2413793,241.2902639522487
0.07729742702224998,0.5,0.31034482,246.0120031308183
0.09403816263296708,0.5,0.37931034,250.87256753306877
0.1110384291157601,0.5,0.44827586,255.82742166272652
0.1282104760184665,0.5,0.51724136,260.8465002684279
0.14549458484028036,0.5,0.5862069,265.9091467945299
0.16284981587155234,0.5,0.6551724,271.0010765150046
0.18024833386065764,0.5,0.7241379,276.1124507591711
0.19767184707435223,0.5,0.79310346,281.23653813751775
0.21510874061216423,0.5,0.86206895,286.36887027274463
0.23255237936657447,0.5,0.9310345,291.50667554926486
0.24999971660623066,0.5,1.0,296.64835774322137
